query,lat,lon,display
"971 E Interstate 30, Rockwall, TX, 75087",32.9031305,-96.4542441,"Mi Cocina, 971, East Interstate 30, Glen Hill, Rockwall, Rockwall County, Texas, 75087, United States"
"1276 Main St, Southlake, TX, 76092",32.9426696,-97.1322206,"1276, Main Street, Southlake Town Square, Southlake, Tarrant County, Texas, 76092, United States"
"509 Main St, Fort Worth, TX, 76102",32.7543952,-97.3307600,"509, Main Street, Downtown Fort Worth, Sundance Square, Fort Worth, Tarrant County, Texas, 76102, United States"
"11909 Preston Rd #1418, Dallas, TX, 75230",32.9113505,-96.8046988,"The Mercury, 11909, Preston Road, Dallas, Dallas County, Texas, 75230, United States"
"3232 McKinney Ave #175, Dallas, TX, 75204",32.8039497,-96.7993321,"Mi Cocina, 3232, McKinney Avenue, Uptown PID, Dallas, Dallas County, Texas, 75204, United States"
"9369 Rain Lily Trl, Fort Worth, TX, 76177",32.9092284,-97.3161480,"Mi Cocina, 9369, Rain Lily Trail, Alliance Town Center, Fort Worth, Tarrant County, Texas, 76244, United States"
"4601 West Fwy #100, Fort Worth, TX, 76107",,,
"77 Highland Park Village, Dallas, TX, 75205",32.8357323,-96.8060454,"Mi Cocina, 77, Highland Park Village, Highland Park, Dallas County, Texas, 75205, United States"
"7750 N MacArthur Blvd #150, Irving, TX, 75063",32.8263793,-96.9591181,"North MacArthur Boulevard, Irving, Dallas County, Texas, 75061, United States"
"11661 Preston Rd #138, Dallas, TX, 75230",,,
"6740 Winning Dr #1010, Frisco, TX, 75034",,,
"18810 E Josey Overlook Drive, Cypress, TX, 77433",29.9404593,-95.7367628,"18810, East Josey Overlook Drive, Bridgeland Management District, Cypress, Harris County, Texas, 77433, United States"
"2115 Judiway Street, Houston, TX, 77018",29.8205410,-95.4373870,"2115, Judiway Street, Central Northwest Houston, Houston, Harris County, Texas, 77018, United States"
"96 Benthaven Way, Montgomery, TX, 77356",30.4157864,-95.6190376,"96, Benthaven Way, Bentwater, Montgomery County, Texas, 77356, United States"
"16917 I-45, Conroe, TX, 77385",30.2022425,-95.4554427,"I 45, Conroe, Montgomery County, Texas, 77385, United States"
"72 Sunset Park Ln, Sugarland, TX, 77479",,,
"Kristy, 730 W Briarwood Dr, Brenham, TX, TX, 77833",,,
"23110 I45, Spring, TX, 77373",,,
"6218 Memorial Dr, Houston, TX, 77007",29.7639105,-95.4269260,"6218, Memorial Drive, Washington Avenue Coalition / Memorial Park, Houston, Harris County, Texas, 77007, United States"
"4 Riverway Dr, Houston, TX, Houston, TX, 77056",29.7616902,-95.4620210,"4, Riverway Drive, Uptown, Houston, Harris County, Texas, 77056, United States"
"1702 Fountain View Dr, Houston, TX, 77057",29.7497092,-95.4861229,"1702, Fountain View Drive, Houston, Harris County, Texas, 77057, United States"
"1018 River Glynn, Houston, TX, 77063",,,
"3107 Canyon Links Dr, Katy, TX, 77450",,,
"940 Plantation Dr, League City, TX, 77573",29.5435391,-95.0767192,"940, Plantation Drive, League City, Galveston County, Texas, 77573, United States"
"149 Quail Creek Ct, Houston, TX, 77024",,,
"23 Liberty Branch Blvd, Spring, TX, 77389",,,
"18014 Yellowstone Trail, Humble, TX, 77346",,,
"646 Shartle Cir, Houston, TX, 77024",,,
"1600 Holcombe Blvd, Houston, TX, 77030",29.7065646,-95.4053495,"Pizza Hut, 1600, Holcombe Boulevard, Texas Medical Center, Houston, Harris County, Texas, 77030, United States"
"2910 Royal Oaks Club Dr., Houston, TX, 77082",29.7299484,-95.5853782,"2910, Royal Oaks Club Drive, Royal Oaks Country Club, Briar Forest, Houston, Harris County, Texas, 77082, United States"
"3018 Richfield Court, Pearland, TX, 77584",,,
"2819 Acorn Wood Way, Houston, TX, 77059",29.5892522,-95.1230636,"2819, Acorn Wood Way, Clear Lake, Houston, Harris County, Texas, 77059, United States"
"4803 Beamer Creek Ct., Sugarland, TX, 77479",,,
"2506 Sara Ridge Ln, Katy, TX, 77450",,,
"953 Memory Lane, Belleville, TX, 77418",,,
"27 Thornblade Circle Spring, TX, Spring, TX, 77389",,,
"102 Benthaven CT, Montgomery, TX, 77356",,,
"2200 W Loop S Fwy, Houston, TX, 77027",,,
"1 Carlton Woods Creekside Drive, Woodlands, TX, 77382",30.1586400,-95.5480660,"1, Carlton Woods Creekside Drive, Carlton Woods Creekside, Creekside Park, The Woodlands, Harris County, Texas, 77389, United States"
"1 Carlton Woods Dr, Woodlands, TX, 77382",30.1931620,-95.5494590,"1, Carlton Woods Drive, Sterling Ridge, The Woodlands, Montgomery County, Texas, 77382, United States"
"30318 Orchard Place Lane, Brookshire, TX, 77423",,,
"5826 Valley Forge, Houston, TX, 77057",29.7536597,-95.4844819,"5826, Valley Forge Drive, Houston, Harris County, Texas, 77057, United States"
"21 Waterway Ave. # 500, Woodlands, TX, 77380",,,
"3800 Milam St, Houston, TX, 77006",29.7397873,-95.3811810,"3800, Milam Street, Midtown, Houston, Harris County, Texas, 77002, United States"
"1 Fannin St, Houston, TX, Houston, TX, 77054",29.6640992,-95.4029413,"Fannin Street, Houston, Harris County, Texas, 77054, United States"
"5330 Wilers Way, Houston TX, Houston, TX, 77056",,,
"100 Grand Fairway, Woodlands, TX, 77381",30.1893618,-95.5213084,"Palmer Course - General nine, 100, Grand Fairway, Cochran's Crossing, The Woodlands, Montgomery County, Texas, 77381, United States"
"1730 S. Millbend DR, TX, 77381",30.1432529,-95.4620950,"1730, South Millbend Drive, Grogan's Mill, The Woodlands, Montgomery County, Texas, 77380, United States"
"1730 S. Millbend DR, Woodlands, TX, 77380",30.1432529,-95.4620950,"1730, South Millbend Drive, Grogan's Mill, The Woodlands, Montgomery County, Texas, 77380, United States"
"3522 Bluebonnett Blvd, Houston, TX, 77025",,,
"15710 Chimney Rock Rd, TX 77489",29.5982330,-95.4822230,"15710, Chimney Rock Road, Fort Bend Houston, Houston, Fort Bend County, Texas, 77489, United States"
"31902 Churchill Field Ln, TX 77441",29.6798863,-95.9210128,"31902, Churchill Field Lane, Fort Bend County, Texas, 77441, United States"
"1203 Avenue D, TX 77493",29.7900924,-95.8244984,"1203, Avenue D, Katy, Harris County, Texas, 77493, United States"
"3810, TX 77459",30.4125290,-97.7451497,"11411 Research/Windriver Apts, Research Boulevard, Austin, Travis County, Texas, 78859, United States"
"6314 Windermere Park Lane, TX 77479",29.5504496,-95.6123567,"6314, Windermere Park Lane, Riverstone, Fort Bend County, Texas, 77479, United States"
"5907 Royal Point Ct., TX 77345",30.0401260,-95.1342730,"5907, Royal Point Court, Royal Shores, Houston, Harris County, Texas, 77345, United States"
"2603 Fountain Key Blvd., TX 77008",,,
"28322 Meadow Forest, TX 77355",30.1654988,-95.7389553,"28322, Meadow Forest, High Meadow Ranch, Montgomery County, Texas, 77355, United States"
"23 Eloquence Way, TX 77381",30.1916331,-95.5558902,"23, Eloquence Way, Carlton Woods, Sterling Ridge, The Woodlands, Montgomery County, Texas, 77382, United States"
"10 Oaklawn Drive, TX 77042",29.7703342,-95.5220304,"10, Oaklawn Drive, Piney Point Village, Harris County, Texas, 77024, United States"
"10 Grand Colonial, TX 77382",30.1968281,-95.5506355,"10, Grand Colonial Drive, Carlton Woods, Sterling Ridge, The Woodlands, Montgomery County, Texas, 77382, United States"
"214 S L Oak St, TX 77418",29.9614662,-96.2929739,"77418, Austin County, Texas, United States"
"11235 Jones Wilke Rd, TX 77426",30.0725651,-96.2801867,"11235, Jones Wilke Road, Austin County, Texas, 77426, United States"
"6708 Coshatte Rd, TX 77418",29.9335628,-96.2495138,"Coshatte Road, Bellville, Austin County, Texas, 77418, United States"
"110 S Masonic, TX 77418",29.9491877,-96.2594215,"South Masonic Street, Bellville, Austin County, Texas, 77418, United States"
"4 S Holland St., TX 77418",29.9503741,-96.2578294,"4, South Holland Street, Bellville, Austin County, Texas, 77418, United States"
"14 Legato, TX 77382",30.1966395,-95.5589033,"14, Legato Way, Carlton Woods, Sterling Ridge, The Woodlands, Montgomery County, Texas, 77382, United States"
"3719 Garth Rd, TX 77521",29.7626108,-94.9774952,"3719, Garth Road, Baytown, Harris County, Texas, 77521, United States"
"1010 Bay Area Blvd, TX 77058",29.5551465,-95.1200961,"1010, Bay Area Boulevard, Clear Lake City, Houston, Harris County, Texas, 77058, United States"
"3500 East Blvd, TX 77536",29.6846940,-95.0986930,"3500, East Boulevard, Deer Park, Harris County, Texas, 77536, United States"
"10304 East Fwy, TX 77029",29.7741647,-95.2467224,"10304, East Freeway, Houston, Harris County, Texas, 77029, United States"
"23033 Grand Circle Blvd., TX 77449",29.7881261,-95.7666976,"23033, Grand Circle Boulevard, Harris County, Texas, 77449, United States"
"6101 Fairmont Pkwy, TX 77505",29.6503942,-95.1467315,"6101, Fairmont Parkway, Pasadena, Harris County, Texas, 77505, United States"
"1813 E Broadway St, TX 77581",29.5479196,-95.2382889,"1813, East Broadway Street, Pearland, Brazoria County, Texas, 77581, United States"
"1914 Westcott Suite 100, TX 77479",,,
"2114 Golden Pond Dr, TX 77345",30.0475200,-95.1643306,"2114, Golden Pond Drive, Fosters Mill, Houston, Harris County, Texas, 77345, United States"
"15 N Fazio Way, TX 77389",30.1635722,-95.5453721,"15, North Fazio Way, Carlton Woods Creekside, Creekside Park, The Woodlands, Harris County, Texas, 77389, United States"
"426 Thamer Ln, TX 77024",29.7680877,-95.4941559,"426, Thamer Lane, Hunters Creek Village, Harris County, Texas, 77024, United States"
"22410 US-59, TX 77365",30.1204797,-95.2236364,"22410, Loop 494, New Caney, Porter, Montgomery County, Texas, 77357, United States"
"1500 Rankin Road, TX 77073",29.9653420,-95.3785000,"1500, Rankin Road, Harris County, Texas, 77073, United States"
"1301 Zora ST, TX 77055",29.7929230,-95.4635200,"1301, Zora Street, Spring Branch, Spring Branch East, Houston, Harris County, Texas, 77055, United States"
"91 Wind Ridge Circle, TX 77385",30.1939580,-95.5349770,"91, Wind Ridge Circle, Palmer Woods, Cochran's Crossing, The Woodlands, Montgomery County, Texas, 77381, United States"
"546 Ramblewood Road, TX 77079",29.7685532,-95.5888986,"546, Ramblewood Road, Yorkshire, Houston, Harris County, Texas, 77079, United States"
"2331 Dunstan Rd, TX 77005",29.7192737,-95.4129833,"2331, Dunstan Road, Southampton Extension, University Place, Houston, Harris County, Texas, 77005, United States"
"7602 E. Jordan Cove, TX 77055",29.7934617,-95.4801994,"East Jordan Cove, Spring Branch, Spring Branch East, Houston, Harris County, Texas, 77055, United States"
"214 N Tranquil Path, TX 77380",30.1152344,-95.4727742,"214, North Tranquil Path, Grogan's Mill, The Woodlands, Montgomery County, Texas, 77380, United States"
"9000 Hempstead Rd #366, TX 77008",,,
"3118 La Quinta, TX 77459",29.5733450,-95.5436800,"3118, La Quinta Drive, Missouri City, Fort Bend County, Texas, 77459, United States"
"710 Crawford Street, TX 77002",29.7558649,-95.3585570,"Hampton Inn, 710, Crawford Street, Downtown, Houston, Harris County, Texas, 77002, United States"
"1780 S Post Oak LN, TX 77056",29.7493219,-95.4629990,"1780, South Post Oak Lane, Uptown, Houston, Harris County, Texas, 77056, United States"
"426 W Cowan Drive, TX 77007",29.7677025,-95.4262067,"426, West Cowan Drive, Washington Avenue Coalition / Memorial Park, Houston, Harris County, Texas, 77007, United States"
"3419  Blue Grass Dr, TX 77406",29.6175533,-95.7630575,"3419, Blue Grass Drive, Fort Bend County, Texas, 77406, United States"
"6840 Almeda Road Houston, Texas, TX 77030",29.7046964,-95.3854947,"Home2 Suites, 6840, Almeda Road, Texas Medical Center, Houston, Harris County, Texas, 77030, United States"
"8815 Sterling Gate Cir, TX 77379",30.0062470,-95.5442540,"8815, Sterling Gate Circle, Sterling Gate Estates, Champion Forest, Harris County, Texas, 77379, United States"
"1424 Waverly St, TX 77008",29.7966366,-95.4044850,"1424, Waverly Street, Houston Heights, Houston, Harris County, Texas, 77008, United States"
"2910 Sundance Summit Lane, TX 77474",29.7397024,-95.8407965,"2910, Sundance Summit Lane, Ironwood Estates, Cinco Ranch, Fort Bend County, Texas, 77494, United States"
"9 Hedwig Circle, TX 77024",29.7790686,-95.5080789,"9, Hedwig Circle, Hedwig Village, Harris County, Texas, 77024, United States"
"5303 Calle Cadiz Place, TX 77007",,,
"17011 E Copper Lakes Ct., TX 77095",29.9013764,-95.6731505,"17011, East Copper Lakes Court, Copper Lakes, Harris County, Texas, 77095, United States"
"5231, TX 77069",30.0440099,-94.8907776,"Burger King, 302, United States Highway 90 West, Dayton, Liberty County, Texas, 77535, United States"
"51 West Brace Bridge, TX 77382",,,
"23 Thornblade Circle, TX 77389",30.1546257,-95.5333268,"23, Thornblade Circle, Carlton Woods Creekside, Creekside Park, The Woodlands, Harris County, Texas, 77389, United States"
"38 E Bay Blvd, TX 77380",30.1585971,-95.4774721,"38, East Bay Boulevard, East Shore, Town Center, The Woodlands, Montgomery County, Texas, 77380, United States"
"4800 W Panther Creek Ste 200, TX 77381",,,
"815 Market St Bldg Q1, TX 75013",,,
"18352 Dallas Pkwy #100, TX 75287",,,
"2455 McIver Ln, TX 75006",32.9194179,-96.9293177,"2455, McIver Lane, Carrollton, Dallas County, Texas, 75057, United States"
"6721 Alma Rd, TX 75070",33.1725974,-96.7155171,"Alma Road, McKinney, Collin County, Texas, 75072, United States"
"13350 Dallas Pkwy #100, TX 75240",,,
"6220 Long Prairie Rd, TX 75028",33.0694368,-97.0824891,"6220, Long Prairie Road, Flower Mound, Denton County, Texas, 75028, United States"
"7215 Skillman St #328, TX 75231",32.8802210,-96.7353940,"Mi Cocina, 7215, Skillman Street, Lake Highlands, Dallas, Dallas County, Texas, 75231, United States"
"4001 Preston Rd #502, TX 75093",,,
"6332 La Vista Dr, TX 75214",32.8126098,-96.7539703,"6332, La Vista Drive, Dallas, Dallas County, Texas, 75214, United States"
"5760 Legacy Dr #B7, TX 75024",,,
"1370 W Campbell Rd, TX 75080",32.9787823,-96.7666175,"Mi Cocina, 1370, West Campbell Road, Richardson, Dallas County, Texas, 75080, United States"
"1949 N Stemmons Fwy, TX 75207",32.7993688,-96.8214775,"Tru by Hilton Dallas Market Center, 1949, North Stemmons Freeway, Design District, Dallas, Dallas County, Texas, 75207, United States"
"5400 Nebraska Furniture Dr, TX 75056",,,
"2000 Woodall Rodgers Fwy, TX 75201",32.7889510,-96.8013800,"2000, Woodall Rodgers Freeway, Klyde Warren Park-Arts District PID, Downtown PID, Dallas, Dallas County, Texas, 75201, United States"
"971 E Interstate 30, TX 75087",32.9031305,-96.4542441,"Mi Cocina, 971, East Interstate 30, Glen Hill, Rockwall, Rockwall County, Texas, 75087, United States"
"1276 Main St, TX 76092",32.9426696,-97.1322206,"1276, Main Street, Southlake Town Square, Southlake, Tarrant County, Texas, 76092, United States"
"509 Main St, TX 76102",32.7543952,-97.3307600,"509, Main Street, Downtown Fort Worth, Sundance Square, Fort Worth, Tarrant County, Texas, 76102, United States"
"11909 Preston Rd #1418, TX 75230",32.9113505,-96.8046988,"The Mercury, 11909, Preston Road, Dallas, Dallas County, Texas, 75230, United States"
"3232 McKinney Ave #175, TX 75204",32.8039497,-96.7993321,"Mi Cocina, 3232, McKinney Avenue, Uptown PID, Dallas, Dallas County, Texas, 75204, United States"
"9369 Rain Lily Trl, TX 76177",32.9092284,-97.3161480,"Mi Cocina, 9369, Rain Lily Trail, Alliance Town Center, Fort Worth, Tarrant County, Texas, 76244, United States"
"4601 West Fwy #100, TX 76107",,,
"77 Highland Park Village, TX 75205",32.8357323,-96.8060454,"Mi Cocina, 77, Highland Park Village, Highland Park, Dallas County, Texas, 75205, United States"
"7750 N MacArthur Blvd #150, TX 75063",32.8263793,-96.9591181,"North MacArthur Boulevard, Irving, Dallas County, Texas, 75061, United States"
"11661 Preston Rd #138, TX 75230",,,
"6740 Winning Dr #1010, TX 75034",,,
"18810 E Josey Overlook Drive, TX 77433",29.9404593,-95.7367628,"18810, East Josey Overlook Drive, Bridgeland, Cypress, Harris County, Texas, 77433, United States"
"2115 Judiway Street, TX 77018",29.8205410,-95.4373870,"2115, Judiway Street, Central Northwest Houston, Houston, Harris County, Texas, 77018, United States"
"96 Benthaven Way, TX 77356",30.4157864,-95.6190376,"96, Benthaven Way, Bentwater, Montgomery County, Texas, 77356, United States"
"16917 I-45, TX 77385",30.2027206,-95.4558347,"I 45, Conroe, Montgomery County, Texas, 77385, United States"
"72 Sunset Park Ln, TX 77479",29.5428706,-95.5742501,"72, Sunset Park Lane, Riverstone, Fort Bend County, Texas, 77479, United States"
"Kristy, TX 77833",31.3612803,-96.1413067,"Kristy Misty Lane, Jewett, Leon County, Texas, 75846, United States"
"23110 I45, TX 77373",33.5736609,-95.6199254,"County Road 23110, Atlas, Lamar County, Texas, United States"
"6218 Memorial Dr, TX 77007",29.7639105,-95.4269260,"6218, Memorial Drive, Washington Avenue Coalition / Memorial Park, Houston, Harris County, Texas, 77007, United States"
"4 Riverway Dr, Houston, TX, TX 77056",29.7616902,-95.4620210,"4, Riverway Drive, Uptown, Houston, Harris County, Texas, 77056, United States"
"1702 Fountain View Dr, TX 77057",29.7497092,-95.4861229,"1702, Fountain View Drive, Houston, Harris County, Texas, 77057, United States"
"1018 River Glynn, TX 77063",,,
"3107 Canyon Links Dr, TX 77450",29.7382900,-95.7478807,"3107, Canyon Links Drive, Kelliwood Terrace, Fort Bend County, Texas, 77450, United States"
"940 Plantation Dr, TX 77573",29.5435391,-95.0767192,"940, Plantation Drive, League City, Galveston County, Texas, 77573, United States"
"149 Quail Creek Ct, TX 77024",29.7506696,-95.5217186,"149, Quail Creek Court, Piney Point Village, Harris County, Texas, 77024, United States"
"23 Liberty Branch Blvd, TX 77389",30.1415999,-95.5375842,"23, Liberty Branch Boulevard, Creekside Park, The Woodlands, Harris County, Texas, 77389, United States"
"18014 Yellowstone Trail, TX 77346",29.9805366,-95.1834915,"18014, Yellowstone Trail, Sierra Ridge, Atascocita, Harris County, Texas, 77346, United States"
"646 Shartle Cir, TX 77024",29.7728273,-95.4939725,"646, Shartle Circle, Hunters Creek Village, Harris County, Texas, 77024, United States"
"1600 Holcombe Blvd, TX 77030",29.7065646,-95.4053495,"Pizza Hut, 1600, Holcombe Boulevard, Texas Medical Center, Houston, Harris County, Texas, 77030, United States"
"2910 Royal Oaks Club Dr., TX 77082",29.7344874,-95.5849954,"2910, Royal Oaks Club Drive, Royal Oaks Country Club, Briar Forest, Houston, Harris County, Texas, 77082, United States"
"3018 Richfield Court, TX 77584",29.5429010,-95.3719450,"3018, Richfield Court, Brazoria County, Texas, 77584, United States"
"2819 Acorn Wood Way, TX 77059",29.5887639,-95.1233947,"2819, Acorn Wood Way, Clear Lake, Houston, Harris County, Texas, 77059, United States"
"4803 Beamer Creek Ct., TX 77479",29.5492232,-95.6014160,"4803, Beamer Creek Court, Riverstone, Fort Bend County, Texas, 77479, United States"
"2506 Sara Ridge Ln, TX 77450",29.7453911,-95.7281265,"2506, Sara Ridge Lane, LakeForest, Harris County, Texas, 77450, United States"
"953 Memory Lane, TX 77418",30.1561989,-96.6170843,"Memory Lane, Washington County, Texas, 77835, United States"
"27 Thornblade Circle Spring, TX, TX 77389",,,
"102 Benthaven CT, TX 77356",,,
"2200 W Loop S Fwy, TX 77027",,,
"1 Carlton Woods Creekside Drive, TX 77382",30.1586400,-95.5480660,"1, Carlton Woods Creekside Drive, Creekside Park, The Woodlands, Harris County, Texas, 77389, United States"
"1 Carlton Woods Dr, TX 77382",30.1931620,-95.5494590,"1, Carlton Woods Drive, Sterling Ridge, The Woodlands, Montgomery County, Texas, 77382, United States"
"30318 Orchard Place Lane, TX 77423",29.7523937,-95.8937204,"30318, Orchard Place Lane, Jordan Ranch, Fort Bend County, Texas, 77423, United States"
"5826 Valley Forge, TX 77057",29.7536597,-95.4844819,"5826, Valley Forge Drive, Houston, Harris County, Texas, 77057, United States"
"21 Waterway Ave. # 500, TX 77380",,,
"3800 Milam St, TX 77006",29.7397873,-95.3811810,"3800, Milam Street, Midtown, Houston, Harris County, Texas, 77002, United States"
"1 Fannin St, Houston, TX, TX 77054",29.6640992,-95.4029413,"Fannin Street, Houston, Harris County, Texas, 77054, United States"
"5330 Wilers Way, Houston TX, TX 77056",,,
